Team,Maps,RW%,OpK,MultiK,5v4%,4v5%,Traded%,ADR,FA,Map Name
CatEvil,3,33.9%,42.4%,0.61,68.0%,8.8%,16.8%,9.6,0.22,Mirage
Hong Kong fe,1,38.1%,42.9%,0.57,55.6%,25.0%,15.5%,8.9,0.14,Mirage
Last Dance,1,38.1%,33.3%,0.52,85.7%,14.3%,11.0%,10.2,0.10,Mirage
Come Mid,1,27.8%,55.6%,0.67,40.0%,12.5%,11.6%,8.4,0.22,Mirage
Underground,1,31.6%,52.6%,0.74,60.0%,0.0%,17.3%,9.7,0.32,Mirage
Unjustified,3,29.1%,34.5%,0.58,47.4%,19.4%,12.2%,11.0,0.16,Mirage
Fluxo Demons,1,35.0%,30.0%,0.70,66.7%,21.4%,11.1%,14.2,0.20,Mirage
LOCK IN,1,31.6%,47.4%,0.79,44.4%,20.0%,18.8%,7.2,0.11,Mirage
Vibe,5,31.6%,35.1%,0.60,51.5%,21.0%,13.9%,14.4,0.15,Mirage
los kogutos,1,27.8%,27.8%,0.72,40.0%,23.1%,18.1%,15.8,0.11,Mirage
WDG,1,35.0%,50.0%,0.60,50.0%,20.0%,17.7%,16.8,0.10,Mirage
bubibabu,1,23.5%,41.2%,0.71,42.9%,10.0%,26.8%,11.8,0.18,Mirage
Venom,1,31.6%,42.1%,0.47,75.0%,0.0%,8.2%,9.5,0.05,Mirage
gfg123321,1,27.8%,22.2%,0.67,50.0%,21.4%,13.5%,6.9,0.00,Mirage
O PLANO,2,33.3%,41.0%,0.54,56.2%,17.4%,12.2%,19.8,0.08,Mirage
Amigosi,1,31.6%,36.8%,0.58,71.4%,8.3%,16.2%,25.2,0.11,Mirage
Memo,1,35.0%,31.6%,0.65,50.0%,28.6%,10.6%,11.7,0.15,Mirage
Forward,2,21.2%,28.1%,0.67,66.7%,4.2%,12.9%,8.1,0.03,Mirage
Spotless,1,23.5%,35.3%,0.82,33.3%,18.2%,14.7%,15.2,0.12,Mirage
101EST,4,31.6%,39.5%,0.67,66.7%,8.7%,13.0%,6.5,0.12,Mirage
Nirvana,1,38.1%,47.6%,0.52,80.0%,0.0%,21.7%,15.0,0.24,Mirage
Mai Mee Tang,1,35.0%,25.0%,0.50,100.0%,13.3%,6.1%,12.2,0.05,Mirage
suxeN,1,27.8%,61.1%,0.56,45.5%,0.0%,14.3%,20.8,0.06,Mirage
Elocon,1,23.5%,41.2%,0.71,14.3%,30.0%,9.9%,12.5,0.06,Mirage
Freaky Saturday,1,23.5%,52.9%,0.53,33.3%,12.5%,9.7%,9.4,0.12,Mirage
Gostivar,1,38.1%,33.3%,0.57,71.4%,21.4%,11.7%,6.7,0.05,Mirage
Permitta W,4,24.6%,42.0%,0.52,48.3%,7.5%,14.0%,9.0,0.17,Mirage
Malmö,1,27.8%,27.8%,0.67,60.0%,15.4%,12.7%,11.3,0.00,Mirage
BEZFORMbI,1,23.5%,47.1%,0.71,50.0%,0.0%,18.1%,3.4,0.24,Mirage
Amped,1,27.8%,44.4%,0.61,37.5%,20.0%,14.3%,7.6,0.00,Mirage
Aware fe,3,29.1%,38.2%,0.56,61.9%,8.8%,15.3%,14.8,0.11,Mirage
SPORT,2,25.7%,37.1%,0.60,38.5%,18.2%,12.9%,17.3,0.06,Mirage
WiLD,1,23.5%,70.6%,0.65,33.3%,0.0%,8.7%,11.5,0.18,Mirage
Amped Red,1,31.6%,21.1%,0.63,75.0%,20.0%,22.0%,14.6,0.32,Mirage
monaco,1,27.8%,44.4%,0.56,50.0%,10.0%,14.5%,6.3,0.00,Mirage
MANTRA,1,18.8%,31.2%,0.38,60.0%,0.0%,15.2%,9.4,0.06,Mirage
Young Gods,4,26.8%,36.6%,0.58,50.0%,13.3%,11.7%,16.2,0.08,Mirage
Lumen fe,1,18.8%,31.2%,0.38,0.0%,27.3%,18.6%,3.2,0.12,Mirage
UGANDA,1,18.8%,18.8%,0.50,66.7%,7.7%,17.5%,24.6,0.19,Mirage
KG fe,4,25.7%,42.9%,0.66,40.0%,15.0%,15.9%,9.5,0.19,Mirage
Abyss,1,18.8%,12.5%,0.62,50.0%,14.3%,17.4%,6.5,0.19,Mirage
TOG,1,18.8%,43.8%,0.56,42.9%,0.0%,9.0%,10.4,0.19,Mirage
INFURITY,1,27.8%,38.9%,0.56,57.1%,9.1%,13.5%,9.3,0.00,Mirage
NeverPlay,1,31.6%,63.2%,0.47,50.0%,0.0%,10.5%,13.3,0.32,Mirage
3DMAX,2,18.8%,22.6%,0.56,42.9%,12.0%,10.3%,15.2,0.16,Mirage
EVOLUTION,1,23.5%,41.2%,0.41,28.6%,20.0%,12.3%,14.6,0.00,Mirage
Invictum,2,29.7%,35.1%,0.46,46.2%,20.8%,16.6%,17.9,0.14,Mirage
CAPIVARAS,3,20.4%,42.9%,0.67,33.3%,10.7%,13.8%,9.5,0.18,Mirage
LBS Norra,1,18.8%,37.5%,0.62,33.3%,10.0%,14.3%,17.8,0.31,Mirage
Tunisia,2,25.7%,28.6%,0.57,30.0%,24.0%,10.0%,11.8,0.06,Mirage
DETONATE,1,27.8%,33.3%,0.50,66.7%,8.3%,10.7%,18.6,0.28,Mirage
MCS,1,27.8%,38.9%,0.56,28.6%,27.3%,11.0%,15.6,0.17,Mirage
Kitsune,2,21.2%,36.4%,0.48,58.3%,0.0%,11.5%,9.5,0.15,Mirage
Will to Win,1,27.8%,61.1%,0.50,45.5%,0.0%,14.3%,12.0,0.06,Mirage
Benched Heroes,1,23.5%,29.4%,0.53,40.0%,16.7%,6.9%,5.7,0.06,Mirage
Retirement Home,1,13.3%,26.7%,0.60,50.0%,0.0%,16.4%,13.7,0.20,Mirage
ex-SPORT,1,18.8%,31.2%,0.44,40.0%,9.1%,18.1%,7.7,0.25,Mirage
Eruption,1,18.8%,12.5%,0.62,100.0%,7.1%,9.7%,3.8,0.19,Mirage
ACME,2,18.8%,21.9%,0.59,28.6%,16.0%,10.1%,5.7,0.00,Mirage
North Macedonia,1,13.3%,20.0%,0.47,66.7%,0.0%,21.9%,6.0,0.13,Mirage
LBSnykpg,1,13.3%,33.3%,0.20,40.0%,0.0%,13.2%,7.7,0.20,Mirage
Jake Bube,1,7.1%,42.9%,0.43,0.0%,12.5%,6.2%,19.1,0.00,Mirage
sunshine,1,7.1%,35.7%,0.57,20.0%,0.0%,13.6%,3.5,0.00,Mirage
GRDX,1,13.3%,20.0%,0.60,33.3%,8.3%,14.3%,8.4,0.07,Mirage
Legacy US,1,18.8%,43.8%,0.38,42.9%,0.0%,16.4%,17.7,0.12,Mirage
FlyingH1rsch,1,23.5%,47.1%,0.47,25.0%,22.2%,12.8%,13.6,0.06,Mirage
kz5,1,7.1%,28.6%,0.43,0.0%,10.0%,20.3%,5.0,0.00,Mirage
Tseg Taslal,1,13.3%,13.3%,0.40,100.0%,0.0%,8.5%,1.7,0.00,Mirage
Parkers Money Crew,1,0.0%,30.8%,0.54,0.0%,0.0%,14.1%,5.7,0.00,Mirage
VENI VIDI VICI,1,18.8%,18.8%,0.44,66.7%,7.7%,12.3%,11.5,0.06,Mirage
FORZE YNG,1,13.3%,33.3%,0.13,20.0%,10.0%,10.9%,10.1,0.13,Mirage
Al-Ittihad,1,7.1%,21.4%,0.50,33.3%,0.0%,7.5%,13.1,0.07,Mirage
BESTIA Academy,1,23.5%,35.3%,0.41,33.3%,18.2%,13.6%,10.4,0.12,Mirage
Þór,1,13.3%,60.0%,0.33,11.1%,16.7%,8.5%,2.9,0.13,Mirage
COVEN,5,17.7%,21.5%,0.44,58.8%,6.5%,13.3%,5.7,0.15,Mirage
MungYu,1,0.0%,0.0%,0.15,0.0%,0.0%,6.9%,4.1,0.08,Mirage
Eternal Fire Academy,1,7.1%,21.4%,0.50,33.3%,0.0%,12.1%,15.2,0.14,Mirage
2ez,1,92.9%,64.3%,1.29,88.9%,100.0%,27.6%,18.9,0.00,Nuke
Eruption,1,81.2%,68.8%,1.56,81.8%,80.0%,31.0%,53.3,0.25,Nuke
Nigma Galaxy,1,100.0%,69.2%,1.38,100.0%,100.0%,51.9%,23.6,0.08,Nuke
5W,2,78.8%,63.6%,1.30,90.5%,58.3%,35.6%,19.2,0.03,Nuke
Sunds Gymnasiet,1,86.7%,73.3%,1.40,90.9%,75.0%,23.7%,12.8,0.13,Nuke
Grindas,1,76.5%,64.7%,1.00,90.9%,50.0%,15.4%,20.7,0.06,Nuke
Onyx Ravens,3,73.6%,54.7%,1.08,89.7%,54.2%,23.8%,19.3,0.13,Nuke
Shimmer,4,73.2%,64.8%,1.14,84.8%,52.0%,26.7%,20.8,0.07,Nuke
Spain fe,1,65.0%,50.0%,1.10,80.0%,50.0%,37.1%,12.1,0.00,Nuke
TIMACETA,1,76.5%,82.4%,0.88,85.7%,33.3%,16.7%,26.4,0.06,Nuke
BeBold,1,86.7%,71.4%,1.13,80.0%,100.0%,28.6%,17.5,0.20,Nuke
SovvyKiNG,1,68.4%,57.9%,1.11,100.0%,25.0%,23.1%,20.3,0.11,Nuke
Honvéd,1,68.4%,68.4%,0.95,84.6%,33.3%,14.8%,25.9,0.21,Nuke
2070,1,61.9%,61.9%,1.29,71.4%,42.9%,27.3%,14.2,0.24,Nuke
For Fun,2,60.4%,62.3%,1.04,75.8%,35.0%,24.4%,18.6,0.09,Nuke
Shush,1,68.4%,57.9%,1.11,72.7%,62.5%,19.7%,6.3,0.16,Nuke
iNation,1,65.0%,60.0%,1.05,75.0%,50.0%,23.6%,22.7,0.05,Nuke
awesome academy,1,72.2%,38.9%,1.00,85.7%,63.6%,26.4%,24.7,0.06,Nuke
Kubix,1,65.0%,80.0%,1.05,68.8%,50.0%,21.9%,18.1,0.30,Nuke
FURIA fe,7,59.2%,60.0%,0.96,80.0%,28.0%,23.5%,19.4,0.20,Nuke
MIBR fe,3,68.4%,64.3%,0.82,80.6%,47.6%,28.0%,18.1,0.07,Nuke
Nemesis fe,1,72.2%,61.1%,0.94,90.9%,42.9%,15.1%,21.6,0.11,Nuke
Punishers,1,56.5%,43.5%,1.00,72.7%,41.7%,17.3%,15.7,0.26,Nuke
Kario Mart,1,61.9%,61.9%,1.00,61.5%,62.5%,19.4%,12.2,0.00,Nuke
DASH,3,66.1%,59.3%,0.92,74.3%,54.2%,24.3%,16.7,0.10,Nuke
G3,3,62.7%,64.2%,0.85,79.1%,33.3%,22.4%,22.4,0.04,Nuke
Imperial fe,3,66.0%,60.4%,0.96,84.4%,38.1%,20.5%,19.6,0.09,Nuke
Poland fe,3,66.7%,52.4%,0.92,69.7%,63.3%,18.8%,12.0,0.11,Nuke
LOS,2,61.9%,54.8%,1.02,84.0%,29.4%,29.6%,23.6,0.10,Nuke
Just Swing,1,56.5%,52.2%,0.83,75.0%,36.4%,23.9%,15.9,0.13,Nuke
hypewrld,2,70.3%,56.8%,0.70,85.7%,50.0%,19.3%,14.2,0.14,Nuke
RAPTORS EC,1,65.0%,50.0%,1.00,80.0%,50.0%,16.4%,23.4,0.15,Nuke
Pigeons,6,65.2%,54.5%,0.98,82.0%,45.1%,24.5%,18.0,0.12,Nuke
Jeeves,2,68.4%,60.5%,1.00,82.6%,46.7%,20.5%,21.8,0.29,Nuke
TUSTE CHOPAKI,1,59.1%,40.9%,0.95,66.7%,53.8%,26.3%,18.0,0.05,Nuke
jefet,1,72.2%,55.6%,0.89,90.0%,50.0%,17.0%,19.5,0.00,Nuke
500 Rush,2,59.1%,63.6%,0.86,71.4%,37.5%,25.8%,20.5,0.09,Nuke
The Last Resort,3,58.8%,57.4%,0.90,71.8%,41.4%,23.9%,24.9,0.10,Nuke
Fluxo Demons,18,63.7%,52.3%,0.93,82.2%,43.3%,22.8%,21.6,0.19,Nuke
ex-FORZE Ladies,1,59.1%,63.6%,1.00,85.7%,12.5%,17.6%,11.2,0.09,Nuke
Coalesce,1,68.4%,63.2%,0.68,83.3%,42.9%,30.0%,29.9,0.26,Nuke
Teamwork,1,68.4%,52.6%,0.84,100.0%,33.3%,14.3%,18.4,0.26,Nuke
dream catchers fe,2,59.1%,53.5%,0.91,73.9%,42.9%,17.9%,10.7,0.09,Nuke
The Boys,1,61.9%,57.1%,0.86,91.7%,22.2%,22.0%,13.1,0.19,Nuke
Lilmix,2,57.1%,51.2%,1.00,85.7%,28.6%,19.4%,13.2,0.02,Nuke
Sympa la force,1,65.0%,65.0%,0.95,84.6%,28.6%,27.4%,11.9,0.20,Nuke
FlyQuest RED,2,56.8%,54.1%,0.84,70.0%,41.2%,23.4%,18.4,0.32,Nuke
TRAFFIC Tashkent,3,56.5%,59.4%,0.78,78.0%,25.0%,15.6%,20.2,0.06,Nuke
TOG,1,45.8%,37.5%,1.17,77.8%,26.7%,27.4%,8.3,0.00,Nuke
Norway,3,60.8%,48.1%,1.00,79.5%,42.5%,22.0%,14.3,0.10,Nuke
Akimbo,5,58.9%,48.6%,0.88,76.9%,41.8%,22.0%,15.8,0.09,Nuke
Mindfreak,30,57.7%,54.2%,0.91,78.5%,33.3%,22.3%,20.3,0.16,Nuke
huge sweaty,1,54.2%,54.2%,1.12,84.6%,18.2%,19.5%,22.9,0.00,Nuke
GameHunters,5,58.3%,55.2%,0.95,81.1%,30.2%,22.4%,9.3,0.09,Nuke
panelinha,2,65.9%,54.5%,0.86,83.3%,45.0%,22.4%,20.4,0.14,Nuke
IHC,8,55.7%,52.7%,0.89,78.4%,30.4%,19.1%,16.8,0.14,Nuke
Belgium,1,56.5%,56.5%,1.17,69.2%,40.0%,27.3%,20.2,0.04,Nuke
Perseverance,6,51.9%,54.1%,0.84,69.4%,31.1%,19.8%,14.3,0.13,Nuke
OVERFRAG,1,57.1%,46.4%,0.86,76.9%,40.0%,29.4%,23.4,0.25,Nuke
st4rboys,1,56.5%,47.8%,0.91,72.7%,41.7%,21.3%,22.1,0.17,Nuke
PeeP,1,54.2%,54.2%,0.96,76.9%,27.3%,22.2%,23.0,0.08,Nuke
Zomblers,2,51.4%,43.2%,0.86,81.2%,28.6%,18.5%,17.3,0.19,Nuke
NAVI Javelins,8,56.4%,57.7%,0.89,77.9%,27.0%,21.5%,18.3,0.09,Nuke
Newhappy,4,58.8%,60.0%,0.78,77.1%,31.2%,21.0%,23.8,0.23,Nuke
HeizerS,1,59.1%,63.6%,0.77,85.7%,12.5%,26.1%,6.6,0.14,Nuke
DarkSide,1,59.1%,63.6%,0.77,64.3%,50.0%,17.6%,10.0,0.00,Nuke
TYLOO,22,56.7%,54.9%,0.87,75.2%,34.0%,22.1%,19.3,0.17,Nuke
Vitality,30,57.7%,53.2%,0.84,77.1%,35.5%,21.5%,16.9,0.09,Nuke
Twisted Minds,2,59.5%,44.4%,1.00,81.2%,42.9%,20.8%,24.2,0.11,Nuke
Nirvana,1,54.2%,58.3%,0.88,78.6%,20.0%,21.8%,11.2,0.00,Nuke
Latvia,1,56.5%,56.5%,0.91,76.9%,30.0%,22.4%,11.4,0.04,Nuke
EGO,1,61.9%,52.4%,1.05,81.8%,40.0%,18.6%,13.9,0.14,Nuke
Þór,1,61.9%,38.1%,0.90,100.0%,38.5%,18.6%,20.6,0.14,Nuke
VexX,3,58.7%,61.9%,0.84,76.9%,29.2%,24.0%,20.6,0.19,Nuke
00NATION,2,53.1%,51.0%,1.00,84.0%,20.8%,18.6%,31.7,0.10,Nuke
E-Xolos LAZER,16,54.2%,55.4%,0.79,76.5%,26.6%,20.0%,15.7,0.14,Nuke
Lewandownskie,1,54.2%,54.2%,0.88,69.2%,36.4%,19.2%,27.4,0.04,Nuke
Blessed,2,52.4%,54.8%,0.95,73.9%,26.3%,22.3%,18.6,0.12,Nuke
Legacy,19,53.6%,48.7%,0.87,74.6%,33.6%,21.4%,20.5,0.14,Nuke
JiJieHao,4,53.0%,53.0%,0.92,75.0%,28.2%,21.9%,22.2,0.12,Nuke
XPERION NXT,1,65.0%,40.0%,0.75,87.5%,50.0%,16.4%,25.0,0.10,Nuke
BIG EQUIPA,6,53.4%,55.4%,0.85,68.1%,35.6%,23.0%,18.2,0.10,Nuke
The MongolZ,32,53.8%,51.2%,0.87,76.8%,29.5%,20.1%,18.9,0.09,Nuke
Imperial,64,54.3%,53.5%,0.79,74.2%,31.3%,19.7%,15.4,0.12,Nuke
RKON,2,51.1%,48.9%,0.84,77.3%,26.1%,14.2%,17.5,0.13,Nuke
Serbia,2,48.6%,54.1%,0.78,70.0%,23.5%,20.3%,19.8,0.08,Nuke
G2,30,53.9%,52.3%,0.84,79.3%,26.3%,21.1%,16.8,0.13,Nuke
Grayhound,5,55.9%,60.2%,0.86,71.4%,32.4%,22.0%,18.3,0.09,Nuke
SHPL,2,54.5%,45.5%,0.91,85.0%,29.2%,17.0%,17.0,0.02,Nuke
SGGT,1,56.5%,39.1%,0.78,88.9%,35.7%,27.6%,19.7,0.04,Nuke
JANO,8,55.6%,54.4%,0.91,76.1%,31.2%,22.2%,21.5,0.13,Nuke
FlyQuest,14,57.3%,53.7%,0.88,75.3%,36.5%,19.5%,25.4,0.15,Nuke
regnum4games,1,61.9%,47.6%,0.86,90.0%,36.4%,29.0%,22.3,0.10,Nuke
Bad News Kangaroos,13,58.2%,50.6%,0.86,78.9%,36.9%,23.4%,20.4,0.14,Nuke
MIBR,49,53.5%,52.2%,0.81,74.0%,31.2%,21.2%,19.6,0.12,Nuke
MAKING HISTORY,3,58.6%,51.7%,0.76,75.0%,38.5%,22.2%,22.9,0.16,Nuke
Sharks Youngsters,3,47.6%,55.6%,0.87,68.6%,21.4%,20.7%,9.7,0.02,Nuke
Nouns,32,54.3%,52.3%,0.86,76.3%,30.3%,22.2%,24.9,0.16,Nuke
brazylijski luz,12,53.8%,47.2%,0.84,75.0%,34.9%,24.0%,22.1,0.24,Nuke
MOUZ,31,54.4%,49.8%,0.87,75.0%,33.9%,22.0%,15.8,0.11,Nuke
ex-ThunderFlash,4,54.2%,49.4%,0.87,78.0%,31.0%,21.2%,21.8,0.04,Nuke
Aurora,50,53.8%,53.6%,0.84,74.1%,30.3%,20.4%,19.4,0.12,Nuke
Grannys Knockers,8,60.1%,48.3%,0.85,82.6%,39.2%,22.5%,23.3,0.08,Nuke
OneDay fe,1,55.2%,37.9%,0.97,81.8%,38.9%,26.7%,5.7,0.00,Nuke
CEPTER,2,52.5%,61.5%,0.82,75.0%,18.8%,22.4%,18.2,0.20,Nuke
9 Pandas,59,54.2%,51.0%,0.82,77.0%,30.3%,20.9%,16.3,0.13,Nuke
Fluxo,61,54.4%,52.6%,0.83,74.2%,32.6%,20.7%,16.6,0.13,Nuke
paiN,78,55.8%,51.3%,0.79,77.3%,33.2%,19.7%,15.7,0.09,Nuke
NKT,7,52.9%,47.7%,0.89,72.0%,35.0%,22.4%,12.3,0.13,Nuke
vagrants,2,57.1%,54.8%,0.98,78.3%,31.6%,17.0%,32.5,0.12,Nuke
Flying Angels,1,53.3%,50.0%,0.90,73.3%,33.3%,22.0%,17.0,0.17,Nuke
ex-sYnck,1,54.2%,50.0%,0.75,75.0%,33.3%,16.2%,16.2,0.12,Nuke
FURIA,38,54.2%,56.1%,0.82,73.0%,30.2%,20.0%,19.2,0.20,Nuke
Monte Gen,16,52.4%,50.0%,0.84,76.3%,28.4%,21.1%,17.5,0.17,Nuke
M80,7,53.3%,59.1%,0.87,70.4%,28.6%,23.4%,17.7,0.18,Nuke
CUBE,1,44.8%,44.8%,0.76,84.6%,12.5%,30.3%,25.4,0.14,Nuke
Spectre,1,56.5%,65.2%,0.83,80.0%,12.5%,9.7%,6.9,0.00,Nuke
SAW,62,56.2%,56.0%,0.80,75.5%,31.7%,20.6%,19.1,0.14,Nuke
SNOGARD Dragons,1,45.8%,50.0%,0.88,75.0%,16.7%,19.8%,13.8,0.17,Nuke
777,7,47.9%,48.6%,0.81,74.3%,22.2%,18.1%,14.9,0.13,Nuke
CPH Wolves,19,53.0%,52.9%,0.91,75.6%,27.7%,21.2%,14.6,0.10,Nuke
Liquid,30,50.1%,48.0%,0.80,74.4%,27.5%,19.4%,21.2,0.13,Nuke
9z,50,53.5%,52.8%,0.84,73.7%,30.9%,19.6%,17.6,0.09,Nuke
Wildcard,22,52.9%,46.5%,0.82,73.9%,34.1%,20.0%,16.1,0.14,Nuke
RED Canids,57,53.3%,52.4%,0.82,73.7%,30.9%,19.5%,15.1,0.08,Nuke
Zero Tenacity,62,53.6%,53.1%,0.81,73.3%,31.4%,19.8%,17.8,0.11,Nuke
FORZE,33,53.7%,52.0%,0.81,74.8%,30.7%,18.8%,14.0,0.12,Nuke
Permitta W,3,53.5%,49.3%,0.90,82.9%,25.0%,21.5%,18.4,0.03,Nuke
HOTU,18,53.9%,51.6%,0.83,75.4%,31.0%,20.9%,13.0,0.08,Nuke
ARCRED,21,52.1%,49.3%,0.83,74.8%,30.1%,23.1%,11.6,0.04,Nuke
Spirit,31,53.7%,53.2%,0.84,76.3%,28.0%,20.0%,18.1,0.15,Nuke
Espionage,40,53.8%,52.2%,0.82,75.8%,29.7%,19.0%,19.4,0.10,Nuke
NRG,11,51.8%,47.4%,0.88,76.0%,29.5%,22.0%,16.0,0.15,Nuke
Party Astronauts,36,53.0%,51.5%,0.85,76.0%,28.8%,20.5%,20.8,0.18,Nuke
Eternal Fire,29,52.0%,52.4%,0.82,74.9%,26.7%,19.7%,20.4,0.11,Nuke
ATOX,19,52.1%,51.0%,0.80,74.6%,28.6%,18.0%,17.9,0.09,Nuke
Astralis W,3,53.2%,50.0%,0.79,77.4%,29.0%,20.8%,23.9,0.10,Nuke
L&G,1,59.1%,54.5%,0.86,66.7%,50.0%,26.9%,7.3,0.14,Nuke
Monte,44,51.0%,50.7%,0.83,73.5%,27.8%,19.8%,17.3,0.08,Nuke
3DMAX,61,52.5%,49.3%,0.83,73.8%,31.6%,20.6%,19.1,0.13,Nuke
PARIVISION,27,48.7%,54.3%,0.81,69.0%,24.6%,20.5%,15.1,0.10,Nuke
One More,5,51.5%,44.9%,0.87,80.6%,27.0%,24.1%,16.0,0.12,Nuke
Astralis,24,51.5%,52.6%,0.83,70.3%,30.7%,19.5%,23.2,0.12,Nuke
PALOMA,1,59.1%,59.1%,0.82,76.9%,33.3%,30.7%,27.8,0.41,Nuke
Arrow,3,54.1%,57.4%,0.89,68.6%,34.6%,23.4%,16.2,0.03,Nuke
KOI,44,52.8%,50.5%,0.83,73.8%,31.3%,21.0%,20.9,0.17,Nuke
WOPA,8,53.4%,50.6%,0.81,80.0%,26.1%,21.4%,19.8,0.14,Nuke
AURA,1,46.7%,50.0%,1.00,66.7%,26.7%,18.2%,14.7,0.20,Nuke
B8,52,51.5%,50.3%,0.85,72.5%,30.2%,23.2%,16.3,0.08,Nuke
HEROIC,42,52.2%,49.2%,0.79,73.6%,31.3%,19.0%,15.0,0.13,Nuke
ODDIK,62,51.7%,49.7%,0.82,73.8%,29.9%,19.9%,19.0,0.11,Nuke
RUBY,39,52.0%,50.3%,0.83,73.6%,30.2%,20.3%,17.1,0.16,Nuke
TNL,1,54.2%,50.0%,0.83,75.0%,33.3%,22.4%,8.9,0.25,Nuke
Slugy's Shekel Squad,2,48.8%,53.7%,0.83,68.2%,26.3%,19.9%,15.8,0.12,Nuke
Evil Geniuses,2,50.0%,60.0%,0.92,63.9%,29.2%,24.0%,23.2,0.25,Nuke
Enterprise,51,52.3%,49.9%,0.82,74.1%,30.7%,20.8%,17.1,0.16,Nuke
GenOne,13,48.7%,48.7%,0.79,69.7%,28.8%,20.9%,13.8,0.07,Nuke
Johnny Speeds,25,52.1%,49.4%,0.82,75.9%,29.0%,20.3%,17.2,0.10,Nuke
Partizan,4,44.9%,59.6%,0.75,64.2%,16.7%,16.2%,16.6,0.10,Nuke
Invictum,3,49.1%,56.4%,0.85,61.3%,33.3%,15.7%,17.3,0.04,Nuke
OG,11,49.8%,52.1%,0.85,68.9%,29.2%,23.1%,15.0,0.11,Nuke
Vibe,3,49.3%,60.3%,0.89,75.0%,10.3%,19.8%,22.1,0.16,Nuke
EXO,4,50.4%,47.0%,0.74,72.7%,30.6%,21.2%,20.0,0.10,Nuke
Insilio,56,50.5%,50.1%,0.80,72.6%,28.1%,19.4%,18.4,0.11,Nuke
Take Flyte,13,53.2%,52.5%,0.88,69.4%,34.8%,21.5%,13.1,0.12,Nuke
Nemiga,14,48.4%,51.4%,0.78,66.2%,29.7%,19.0%,20.5,0.07,Nuke
Sashi,57,53.0%,48.4%,0.83,74.8%,32.5%,18.9%,17.7,0.11,Nuke
ECSTATIC,34,52.6%,54.2%,0.82,74.9%,26.3%,19.2%,20.3,0.13,Nuke
Astralis Talent,26,55.7%,51.5%,0.82,77.4%,32.7%,19.5%,15.3,0.13,Nuke
Fisher Tsunami,3,51.4%,54.1%,0.81,77.5%,20.6%,18.4%,29.3,0.26,Nuke
adalYamigos,9,48.6%,50.2%,0.72,72.6%,24.5%,20.4%,14.7,0.08,Nuke
inSanitY,21,50.9%,50.2%,0.83,73.4%,28.4%,19.3%,18.2,0.11,Nuke
Angel numbers,1,54.2%,50.0%,0.62,75.0%,33.3%,18.8%,23.8,0.08,Nuke
Spirit Academy,29,52.1%,50.5%,0.83,73.3%,30.7%,22.4%,15.7,0.13,Nuke
premdesant,1,61.9%,42.9%,0.86,88.9%,41.7%,19.1%,11.5,0.05,Nuke
Xiaoma,2,39.5%,47.4%,1.00,66.7%,15.0%,15.6%,21.6,0.32,Nuke
Limitless,11,52.4%,47.3%,0.81,74.8%,32.5%,18.4%,17.1,0.08,Nuke
ORKS,2,52.3%,54.5%,0.84,70.8%,30.0%,17.9%,20.0,0.09,Nuke
undefined,4,51.0%,58.3%,0.77,67.9%,27.5%,18.4%,22.9,0.18,Nuke
True Rippers,5,50.0%,55.6%,0.86,70.0%,25.0%,19.4%,15.9,0.08,Nuke
TSM,38,50.1%,49.4%,0.84,69.2%,31.6%,20.0%,19.6,0.19,Nuke
GamerLegion,33,48.2%,50.9%,0.80,70.5%,25.1%,18.8%,17.2,0.12,Nuke
BESTIA,38,50.7%,50.7%,0.81,71.8%,28.9%,20.5%,17.3,0.13,Nuke
FaZe,44,51.5%,48.7%,0.79,74.3%,29.8%,20.1%,15.2,0.12,Nuke
Souls Heart,1,40.9%,63.6%,0.91,57.1%,12.5%,19.0%,11.7,0.00,Nuke
Apogee,15,52.4%,47.6%,0.77,72.8%,34.0%,19.8%,17.4,0.15,Nuke
ENTiTY,1,46.3%,51.2%,0.73,66.7%,25.0%,22.6%,24.8,0.12,Nuke
SINNERS,74,51.2%,49.4%,0.79,72.8%,30.1%,18.8%,16.2,0.12,Nuke
BIG,17,48.7%,50.3%,0.78,71.7%,25.6%,18.3%,20.9,0.08,Nuke
Strife,9,46.7%,47.8%,0.85,70.5%,25.0%,19.2%,17.2,0.10,Nuke
Heimo,13,51.2%,49.8%,0.84,75.4%,27.3%,21.0%,17.4,0.17,Nuke
BLEED,15,50.0%,49.2%,0.81,71.6%,29.2%,17.2%,16.2,0.12,Nuke
MOUZ NXT,47,49.2%,50.0%,0.81,74.3%,24.0%,19.1%,19.3,0.12,Nuke
Portugal,1,47.6%,52.4%,0.95,72.7%,20.0%,20.5%,19.0,0.14,Nuke
9INE,34,49.3%,50.6%,0.81,69.6%,28.5%,19.6%,15.2,0.10,Nuke
Carpe Diem,8,50.6%,52.1%,0.79,70.5%,29.3%,20.0%,25.8,0.09,Nuke
Case,64,49.4%,50.8%,0.80,70.8%,27.1%,19.4%,18.3,0.15,Nuke
Bad News Chickens,6,52.9%,54.4%,0.68,73.0%,29.0%,15.9%,19.5,0.11,Nuke
Bad News Bricks,1,56.5%,56.5%,0.74,61.5%,50.0%,21.0%,13.0,0.17,Nuke
timbermen,5,49.5%,49.5%,0.80,73.6%,25.9%,24.6%,27.8,0.09,Nuke
Belfast Storm,3,46.9%,48.4%,0.75,67.7%,27.3%,17.3%,22.1,0.05,Nuke
