Team,Maps,Won - Lost,Pistol win %,Round 2 conv,Round 2 break,Map Name
TÓR,3,4 - 2,66.7%,75.0%,0.0%,Nuke
HAVU,26,24 - 28,46.2%,87.5%,17.9%,Nuke
ex-Preasy,5,6 - 4,60.0%,66.7%,25.0%,Nuke
MIGHT,7,7 - 7,50.0%,100.0%,0.0%,Nuke
Sharks,53,54 - 52,50.9%,87.0%,15.4%,Nuke
UHKA,2,1 - 3,25.0%,100.0%,0.0%,Nuke
1WIN,1,2 - 0,100.0%,100.0%,-,Nuke
Patins da Ferrari,13,12 - 14,46.2%,75.0%,7.1%,Nuke
EYEBALLERS,24,20 - 28,41.7%,75.0%,7.4%,Nuke
CYBERSHOKE,7,4 - 10,28.6%,100.0%,10.0%,Nuke
LAG,13,10 - 16,38.5%,90.0%,6.2%,Nuke
VERTEX,3,2 - 4,33.3%,100.0%,25.0%,Nuke
Insomnia,3,3 - 3,50.0%,66.7%,0.0%,Nuke
my life be like,2,2 - 2,50.0%,100.0%,0.0%,Nuke
paiN Academy,3,1 - 5,16.7%,100.0%,0.0%,Nuke
kONO,1,1 - 1,50.0%,100.0%,100.0%,Nuke
Divina fe,2,1 - 3,25.0%,100.0%,0.0%,Nuke
Fisher College,2,3 - 1,75.0%,100.0%,0.0%,Nuke
CS2News,1,1 - 1,50.0%,100.0%,0.0%,Nuke
VP.Angels,4,4 - 4,50.0%,100.0%,0.0%,Nuke
Kronjyllands,1,2 - 0,100.0%,100.0%,-,Nuke
The Art of War,12,8 - 16,33.3%,87.5%,6.7%,Nuke
los kogutos,1,0 - 2,0.0%,-,50.0%,Nuke
Sweet Aim Bro,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Illuminar,16,11 - 21,34.4%,81.8%,19.0%,Nuke
Chinggis Warriors,6,6 - 6,50.0%,83.3%,0.0%,Nuke
Reveal,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Project G,3,5 - 1,83.3%,100.0%,0.0%,Nuke
Halal5,1,1 - 1,50.0%,100.0%,0.0%,Nuke
FLuffy Gangsters,19,15 - 23,39.5%,80.0%,4.3%,Nuke
MANTRA,6,8 - 4,66.7%,87.5%,0.0%,Nuke
INGLORIOUS,2,2 - 2,50.0%,100.0%,0.0%,Nuke
straykids,2,1 - 3,25.0%,100.0%,0.0%,Nuke
Bulgaria,1,0 - 2,0.0%,-,0.0%,Nuke
TMVG,5,5 - 5,50.0%,100.0%,40.0%,Nuke
Divine Vendetta,1,2 - 0,100.0%,100.0%,-,Nuke
Spotless,2,3 - 1,75.0%,100.0%,0.0%,Nuke
STORM,2,3 - 1,75.0%,100.0%,100.0%,Nuke
Players,3,4 - 2,66.7%,75.0%,50.0%,Nuke
MIBR Academy,11,11 - 11,50.0%,90.9%,9.1%,Nuke
Gods Reign,6,3 - 9,25.0%,100.0%,11.1%,Nuke
Hawks,6,5 - 7,41.7%,80.0%,28.6%,Nuke
Flamengo,13,13 - 13,50.0%,76.9%,23.1%,Nuke
Qiang,5,2 - 8,20.0%,100.0%,0.0%,Nuke
KZG,13,15 - 11,57.7%,80.0%,0.0%,Nuke
Ninjas in Pyjamas,22,19 - 25,43.2%,89.5%,12.0%,Nuke
ALTERNATE aTTaX,7,5 - 9,35.7%,100.0%,0.0%,Nuke
ShindeN,4,2 - 6,25.0%,100.0%,0.0%,Nuke
Villainous,5,6 - 4,60.0%,83.3%,0.0%,Nuke
Viperio,6,5 - 7,41.7%,60.0%,14.3%,Nuke
ROTA,1,1 - 1,50.0%,100.0%,0.0%,Nuke
BORING PLAYER,1,0 - 2,0.0%,-,0.0%,Nuke
Vaseline Worms,1,2 - 0,100.0%,100.0%,-,Nuke
Chile,1,0 - 2,0.0%,-,0.0%,Nuke
ex-Anonymo,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Spirit fe,1,2 - 0,100.0%,50.0%,-,Nuke
Haspers,1,1 - 1,50.0%,0.0%,0.0%,Nuke
Sashi Academy,2,1 - 3,25.0%,0.0%,33.3%,Nuke
ex-2GAME,2,2 - 2,50.0%,100.0%,0.0%,Nuke
System5,3,3 - 3,50.0%,33.3%,0.0%,Nuke
The Nomads,2,1 - 3,25.0%,100.0%,0.0%,Nuke
Sissi State Punks,2,1 - 3,25.0%,100.0%,33.3%,Nuke
Torqued,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Kari,1,0 - 2,0.0%,-,0.0%,Nuke
GR,3,2 - 4,33.3%,100.0%,0.0%,Nuke
IKLA,5,4 - 6,40.0%,50.0%,0.0%,Nuke
-72c,2,1 - 3,25.0%,100.0%,0.0%,Nuke
ThunderFlash,2,3 - 1,75.0%,66.7%,0.0%,Nuke
Phoenix,4,5 - 3,62.5%,60.0%,33.3%,Nuke
inSanitY fe,3,3 - 3,50.0%,100.0%,0.0%,Nuke
VERYGOLD,1,1 - 1,50.0%,100.0%,0.0%,Nuke
REAL MADRID,1,0 - 2,0.0%,-,0.0%,Nuke
Crescent fe,5,4 - 6,40.0%,75.0%,0.0%,Nuke
Corinthians,16,12 - 20,37.5%,91.7%,5.0%,Nuke
regain,1,0 - 2,0.0%,-,0.0%,Nuke
TyPuCTbl,1,0 - 2,0.0%,-,0.0%,Nuke
Wings Up,3,1 - 5,16.7%,100.0%,0.0%,Nuke
Hungary,1,1 - 1,50.0%,0.0%,0.0%,Nuke
Revenge,2,2 - 2,50.0%,50.0%,0.0%,Nuke
AL QATRAO,1,1 - 1,50.0%,100.0%,0.0%,Nuke
kz5,1,0 - 2,0.0%,-,50.0%,Nuke
GARAZA,1,2 - 0,100.0%,100.0%,-,Nuke
O PLANO,3,5 - 1,83.3%,40.0%,0.0%,Nuke
PGE Turow,9,9 - 9,50.0%,66.7%,11.1%,Nuke
FURIA Academy,13,5 - 21,19.2%,60.0%,19.0%,Nuke
The QUBE,4,4 - 4,50.0%,100.0%,0.0%,Nuke
ADEPTS,3,4 - 2,66.7%,100.0%,0.0%,Nuke
W7M fe,4,4 - 4,50.0%,50.0%,0.0%,Nuke
CatEvil,3,3 - 3,50.0%,66.7%,0.0%,Nuke
Steel Helmet,3,4 - 2,66.7%,75.0%,0.0%,Nuke
Molotov,3,4 - 2,66.7%,75.0%,0.0%,Nuke
DXA,9,10 - 8,55.6%,90.0%,25.0%,Nuke
NIP Impact,7,5 - 9,35.7%,80.0%,0.0%,Nuke
Dusty Roots,23,16 - 30,34.8%,87.5%,16.7%,Nuke
MASONIC,1,2 - 0,100.0%,100.0%,-,Nuke
NoVum,3,3 - 3,50.0%,66.7%,33.3%,Nuke
Exceed,1,0 - 2,0.0%,-,0.0%,Nuke
Aether,2,0 - 4,0.0%,-,0.0%,Nuke
guardiaN5,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Dewa United,1,1 - 1,50.0%,100.0%,0.0%,Nuke
esmagaB,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Pompa,1,1 - 1,50.0%,0.0%,0.0%,Nuke
9z Academy,7,8 - 6,57.1%,87.5%,0.0%,Nuke
Chetz,2,1 - 3,25.0%,100.0%,0.0%,Nuke
cspojat,1,1 - 1,50.0%,100.0%,0.0%,Nuke
SemperFi,1,0 - 2,0.0%,-,0.0%,Nuke
LT5,1,1 - 1,50.0%,100.0%,0.0%,Nuke
GL Prism,1,0 - 2,0.0%,-,0.0%,Nuke
Derpy Kids,1,0 - 2,0.0%,-,0.0%,Nuke
Apeks,1,2 - 0,100.0%,100.0%,-,Nuke
HyperSpirit,1,2 - 0,100.0%,50.0%,-,Nuke
KG fe,2,2 - 2,50.0%,50.0%,0.0%,Nuke
GENKID4M4,3,1 - 5,16.7%,100.0%,0.0%,Nuke
V1dar,5,1 - 9,10.0%,100.0%,0.0%,Nuke
DMS,2,2 - 2,50.0%,100.0%,0.0%,Nuke
Victorum,2,1 - 3,25.0%,0.0%,0.0%,Nuke
Meta,2,2 - 2,50.0%,100.0%,0.0%,Nuke
Belarus,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Let Her Cook,1,0 - 2,0.0%,-,50.0%,Nuke
Canada,1,0 - 2,0.0%,-,0.0%,Nuke
ACME,1,0 - 2,0.0%,-,0.0%,Nuke
sYnck,4,3 - 5,37.5%,66.7%,0.0%,Nuke
The Neighbours,1,1 - 1,50.0%,100.0%,100.0%,Nuke
WICKED,2,2 - 2,50.0%,100.0%,0.0%,Nuke
FyR,1,0 - 2,0.0%,-,50.0%,Nuke
Sheer Conquer,1,2 - 0,100.0%,50.0%,-,Nuke
ENCE Athena,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Fearless Cheetahs,3,4 - 2,66.7%,100.0%,0.0%,Nuke
AJF,1,0 - 2,0.0%,-,0.0%,Nuke
Spain,1,0 - 2,0.0%,-,50.0%,Nuke
Parkers Money Crew,1,0 - 2,0.0%,-,0.0%,Nuke
BUHAWI,1,0 - 2,0.0%,-,0.0%,Nuke
Lore,2,2 - 2,50.0%,100.0%,0.0%,Nuke
Unjustified,2,2 - 2,50.0%,50.0%,0.0%,Nuke
Asian Kings,1,2 - 0,100.0%,50.0%,-,Nuke
Antic,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Endpoint,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Into the Breach,1,0 - 2,0.0%,-,0.0%,Nuke
PEAK fe,5,2 - 8,20.0%,100.0%,0.0%,Nuke
Rocket,1,1 - 1,50.0%,100.0%,0.0%,Nuke
CyberMAN,1,1 - 1,50.0%,100.0%,0.0%,Nuke
RUSTEC,2,2 - 2,50.0%,100.0%,0.0%,Nuke
TEMP,1,1 - 1,50.0%,0.0%,100.0%,Nuke
Metizport X,2,1 - 3,25.0%,100.0%,0.0%,Nuke
DEPO,2,2 - 2,50.0%,100.0%,0.0%,Nuke
River Plate,1,0 - 2,0.0%,-,50.0%,Nuke
INFURITY,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Soda,1,1 - 1,50.0%,0.0%,0.0%,Nuke
LaChampionsLiga,5,5 - 5,50.0%,80.0%,20.0%,Nuke
ex-iNation,1,0 - 2,0.0%,-,0.0%,Nuke
South Africa fe,1,1 - 1,50.0%,100.0%,0.0%,Nuke
FALKE,1,2 - 0,100.0%,0.0%,-,Nuke
Come on now dawg,2,3 - 1,75.0%,33.3%,0.0%,Nuke
Guild Eagles,1,0 - 2,0.0%,-,0.0%,Nuke
cleanup crew fe,2,1 - 3,25.0%,100.0%,0.0%,Nuke
NA savers,1,1 - 1,50.0%,100.0%,0.0%,Nuke
USA,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Kinship,1,2 - 0,100.0%,0.0%,-,Nuke
iM Apartments,2,2 - 2,50.0%,50.0%,0.0%,Nuke
VIOLET,1,0 - 2,0.0%,-,0.0%,Nuke
2GAME,4,3 - 5,37.5%,33.3%,0.0%,Nuke
SINNERS Academy,1,1 - 1,50.0%,100.0%,0.0%,Nuke
padaem Holodnie,1,2 - 0,100.0%,50.0%,-,Nuke
ROYALS,1,0 - 2,0.0%,-,50.0%,Nuke
Bravado,2,0 - 4,0.0%,-,0.0%,Nuke
Marcos,1,0 - 2,0.0%,-,50.0%,Nuke
GET BDOG'D,2,1 - 3,25.0%,100.0%,0.0%,Nuke
NIGERIA 96,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Snakes Den,1,0 - 2,0.0%,-,0.0%,Nuke
Meteor,2,1 - 3,25.0%,100.0%,0.0%,Nuke
Smoke,3,3 - 3,50.0%,66.7%,0.0%,Nuke
BEE,1,1 - 1,50.0%,100.0%,0.0%,Nuke
ex-LRV,1,0 - 2,0.0%,-,0.0%,Nuke
Enigma,1,1 - 1,50.0%,100.0%,0.0%,Nuke
Blue Otter Karma,1,1 - 1,50.0%,0.0%,0.0%,Nuke
WDG,1,1 - 1,50.0%,0.0%,0.0%,Nuke
Wisby Gymnasiet,1,0 - 2,0.0%,-,0.0%,Nuke
BESTIA Academy,3,1 - 5,16.7%,0.0%,0.0%,Nuke
Daugava,1,0 - 2,0.0%,-,0.0%,Nuke
Juggernauts,1,0 - 2,0.0%,-,50.0%,Nuke
LetUsQualify,1,0 - 2,0.0%,-,0.0%,Nuke
MYSKILL,1,0 - 2,0.0%,-,0.0%,Nuke
CAPIVARAS,1,0 - 2,0.0%,-,0.0%,Nuke
Knaeskydd,1,1 - 1,50.0%,100.0%,0.0%,Nuke
NoChance,1,0 - 2,0.0%,-,0.0%,Nuke
618 KS,1,0 - 2,0.0%,-,0.0%,Nuke
RUNnGUN,1,0 - 2,0.0%,-,0.0%,Nuke
Canada fe,1,0 - 2,0.0%,-,0.0%,Nuke
Tunisia,1,0 - 2,0.0%,-,50.0%,Nuke
Lotus fe,1,1 - 1,50.0%,100.0%,0.0%,Nuke
complicated,1,0 - 2,0.0%,-,0.0%,Nuke
Duck Duck Goose,1,0 - 2,0.0%,-,0.0%,Nuke
Clоwnfiesta,1,0 - 2,0.0%,-,0.0%,Nuke
aNXi5tyS,1,1 - 1,50.0%,0.0%,0.0%,Nuke
Fort Arena,1,0 - 2,0.0%,-,0.0%,Nuke
RESILIENCE,1,0 - 2,0.0%,-,0.0%,Nuke
AVEZ,1,0 - 2,0.0%,-,0.0%,Nuke
500x,1,0 - 2,0.0%,-,0.0%,Nuke
Aurora,1,2 - 0,100.0%,100.0%,-,Vertigo
OMiT,1,2 - 0,100.0%,50.0%,-,Vertigo
FORZE Reload,1,2 - 0,100.0%,100.0%,-,Vertigo
9 Pandas Fearless,1,2 - 0,100.0%,100.0%,-,Vertigo
FyR,1,2 - 0,100.0%,100.0%,-,Vertigo
DETONATE,2,3 - 1,75.0%,66.7%,0.0%,Vertigo
France fe,1,2 - 0,100.0%,100.0%,-,Vertigo
SENSEI,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Honvéd,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
BUHAWI,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Twisted Minds,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
Denmark fe,1,1 - 1,50.0%,100.0%,100.0%,Vertigo
DRILLAS,3,4 - 2,66.7%,100.0%,0.0%,Vertigo
Grayhound,8,12 - 4,75.0%,91.7%,50.0%,Vertigo
5W,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
ex-Preasy,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Housebets,3,4 - 2,66.7%,75.0%,100.0%,Vertigo
Reason,2,4 - 0,100.0%,100.0%,-,Vertigo
Jeeves,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
USA fe,1,2 - 0,100.0%,100.0%,-,Vertigo
OG3OD,1,1 - 1,50.0%,100.0%,100.0%,Vertigo
Metizport X,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
BEZPRESSA,1,2 - 0,100.0%,50.0%,-,Vertigo
Hawks,1,0 - 2,0.0%,-,50.0%,Vertigo
DASH,2,3 - 1,75.0%,100.0%,100.0%,Vertigo
FURIA fe,5,7 - 3,70.0%,83.3%,66.7%,Vertigo
atputies,2,3 - 1,75.0%,100.0%,0.0%,Vertigo
Pigeons,11,12 - 10,54.5%,83.3%,10.0%,Vertigo
The Neighbours,2,2 - 2,50.0%,100.0%,100.0%,Vertigo
panelinha,2,2 - 2,50.0%,100.0%,50.0%,Vertigo
Fire Flux,6,8 - 4,66.7%,87.5%,0.0%,Vertigo
Secret,1,2 - 0,100.0%,100.0%,-,Vertigo
FlyQuest RED,9,10 - 8,55.6%,100.0%,25.0%,Vertigo
Cringexe,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
fightclub,1,0 - 2,0.0%,-,0.0%,Vertigo
B8,5,6 - 4,60.0%,100.0%,25.0%,Vertigo
BHOP,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
ACME,3,4 - 2,66.7%,75.0%,50.0%,Vertigo
NITRO,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Czech Republic,2,4 - 0,100.0%,75.0%,-,Vertigo
showmakerz,1,1 - 1,50.0%,100.0%,100.0%,Vertigo
ex-AVANGAR,2,2 - 2,50.0%,50.0%,0.0%,Vertigo
Spirit Academy,13,18 - 8,69.2%,83.3%,12.5%,Vertigo
Fearless Cheetahs,6,6 - 6,50.0%,83.3%,33.3%,Vertigo
GTZ,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Wildcard,30,33 - 27,55.0%,93.9%,25.9%,Vertigo
NRG,20,23 - 17,57.5%,90.9%,5.9%,Vertigo
ex-ThunderFlash,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
E9,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Homyno,4,5 - 3,62.5%,100.0%,100.0%,Vertigo
upNEXT,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
BIG EQUIPA,2,3 - 1,75.0%,100.0%,0.0%,Vertigo
AL QATRAO,2,3 - 1,75.0%,100.0%,0.0%,Vertigo
The Witchers,7,7 - 7,50.0%,100.0%,28.6%,Vertigo
Zomblers,2,1 - 3,25.0%,0.0%,33.3%,Vertigo
Shimmer,7,10 - 4,71.4%,80.0%,0.0%,Vertigo
MOUZ NXT,63,72 - 54,57.1%,91.7%,13.0%,Vertigo
FlyQuest,11,10 - 12,45.5%,100.0%,25.0%,Vertigo
ThunderFlash,2,3 - 1,75.0%,100.0%,0.0%,Vertigo
MASONIC,7,7 - 7,50.0%,71.4%,28.6%,Vertigo
FTW,6,6 - 6,50.0%,100.0%,16.7%,Vertigo
Marcos,4,7 - 1,87.5%,100.0%,0.0%,Vertigo
LT5,2,2 - 2,50.0%,50.0%,0.0%,Vertigo
TYLOO,7,9 - 5,64.3%,77.8%,20.0%,Vertigo
Passion UA,54,67 - 41,62.0%,89.6%,12.5%,Vertigo
Spirit fe,8,10 - 6,62.5%,70.0%,16.7%,Vertigo
Unjustified,7,9 - 5,64.3%,44.4%,0.0%,Vertigo
Arcade,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
MIBR,48,63 - 33,65.6%,90.3%,12.5%,Vertigo
MAKING HISTORY,5,3 - 7,30.0%,66.7%,42.9%,Vertigo
M1X KS,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
M80,31,38 - 24,61.3%,81.6%,45.8%,Vertigo
adalYamigos,8,8 - 8,50.0%,100.0%,12.5%,Vertigo
VELOX,3,4 - 2,66.7%,100.0%,50.0%,Vertigo
ATOX,1,2 - 0,100.0%,100.0%,-,Vertigo
MAG,1,2 - 0,100.0%,50.0%,-,Vertigo
Vitality,15,15 - 15,50.0%,86.7%,13.3%,Vertigo
paiN,55,69 - 41,62.7%,89.6%,9.8%,Vertigo
SINNERS,7,9 - 5,64.3%,100.0%,0.0%,Vertigo
Monte Gen,16,18 - 14,56.2%,94.1%,7.1%,Vertigo
BLEED,17,16 - 18,47.1%,87.5%,0.0%,Vertigo
Young Ninjas,28,28 - 28,50.0%,89.3%,7.1%,Vertigo
Elevate,13,16 - 10,61.5%,87.5%,0.0%,Vertigo
LL Madagaskar,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
CUBE,2,0 - 4,0.0%,-,25.0%,Vertigo
TIMACETA,3,4 - 2,66.7%,75.0%,0.0%,Vertigo
EZ4ENCE,2,1 - 3,25.0%,100.0%,33.3%,Vertigo
VERTEX,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
Spirit,13,12 - 14,46.2%,100.0%,0.0%,Vertigo
Complexity,30,31 - 29,51.7%,83.9%,24.1%,Vertigo
Metizport,41,43 - 39,52.4%,74.4%,18.4%,Vertigo
SHPL,3,4 - 2,66.7%,100.0%,0.0%,Vertigo
RUSTEC,1,1 - 1,50.0%,100.0%,100.0%,Vertigo
True Rippers,4,1 - 7,12.5%,100.0%,28.6%,Vertigo
Eternal Fire,26,26 - 26,50.0%,92.3%,26.9%,Vertigo
Bad News Kangaroos,18,18 - 18,50.0%,77.8%,38.9%,Vertigo
Bromo,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
GR,1,0 - 2,0.0%,-,0.0%,Vertigo
JiJieHao,3,4 - 2,66.7%,75.0%,0.0%,Vertigo
The Suspect,2,3 - 1,75.0%,100.0%,0.0%,Vertigo
Nouns,34,33 - 35,48.5%,93.9%,14.3%,Vertigo
NIP Impact,8,9 - 7,56.2%,88.9%,28.6%,Vertigo
Kappa Bar,3,2 - 4,33.3%,100.0%,50.0%,Vertigo
Insilio,38,36 - 40,47.4%,80.6%,15.0%,Vertigo
Wizard,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
ECSTATIC,40,37 - 43,46.2%,83.3%,20.9%,Vertigo
Gods Reign,2,1 - 3,25.0%,0.0%,0.0%,Vertigo
FLUFFY AIMERS,24,20 - 28,41.7%,84.2%,21.4%,Vertigo
Fluxo,38,39 - 37,51.3%,97.4%,8.1%,Vertigo
TRAFFIC Tashkent,2,3 - 1,75.0%,66.7%,0.0%,Vertigo
9INE,42,42 - 42,50.0%,90.5%,14.3%,Vertigo
9INE Academy,1,0 - 2,0.0%,-,0.0%,Vertigo
Grannys Knockers,3,3 - 3,50.0%,66.7%,0.0%,Vertigo
AJF,3,4 - 2,66.7%,75.0%,0.0%,Vertigo
fnatic,33,37 - 29,56.1%,94.4%,17.2%,Vertigo
Blaze Warriors,1,0 - 2,0.0%,-,50.0%,Vertigo
MIBR fe,5,6 - 4,60.0%,83.3%,0.0%,Vertigo
straykids,1,1 - 1,50.0%,100.0%,100.0%,Vertigo
Rebels,31,43 - 19,69.4%,79.1%,0.0%,Vertigo
Kyoto,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
Meta,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
ECF,3,2 - 4,33.3%,100.0%,25.0%,Vertigo
ENCE Athena,10,11 - 9,55.0%,90.9%,33.3%,Vertigo
HSG fe,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
Sangal,33,33 - 33,50.0%,90.9%,18.2%,Vertigo
NewBALLS,3,3 - 3,50.0%,100.0%,0.0%,Vertigo
Cloud9,5,5 - 5,50.0%,100.0%,0.0%,Vertigo
Grindas,1,2 - 0,100.0%,100.0%,-,Vertigo
Onyx Ravens,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
W7M fe,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Verdant,31,28 - 34,45.2%,85.7%,17.6%,Vertigo
Imperial,29,30 - 28,51.7%,86.7%,10.7%,Vertigo
Monte,38,38 - 38,50.0%,89.5%,7.9%,Vertigo
Sharks,55,45 - 65,40.9%,93.2%,7.8%,Vertigo
Revenant,15,20 - 10,66.7%,95.0%,20.0%,Vertigo
Apeks,8,7 - 9,43.8%,100.0%,11.1%,Vertigo
brazylijski luz,10,12 - 8,60.0%,100.0%,25.0%,Vertigo
Akimbo,2,0 - 4,0.0%,-,0.0%,Vertigo
TSM,20,18 - 22,45.0%,77.8%,9.1%,Vertigo
Badass,3,4 - 2,66.7%,75.0%,0.0%,Vertigo
RAPTORS EC,2,2 - 2,50.0%,100.0%,50.0%,Vertigo
Apogee,11,13 - 9,59.1%,76.9%,11.1%,Vertigo
Rooster,21,16 - 26,38.1%,75.0%,23.1%,Vertigo
System5,5,8 - 2,80.0%,100.0%,0.0%,Vertigo
TALON,8,9 - 7,56.2%,88.9%,0.0%,Vertigo
Fluxo Demons,6,8 - 4,66.7%,75.0%,25.0%,Vertigo
Rounds,1,2 - 0,100.0%,100.0%,-,Vertigo
Imp Pact fe,3,4 - 2,66.7%,100.0%,0.0%,Vertigo
MOUZ,24,24 - 24,50.0%,83.3%,8.3%,Vertigo
ENCE,19,22 - 16,57.9%,90.9%,18.8%,Vertigo
Blue Otter Karma,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
MYSKILL,2,3 - 1,75.0%,100.0%,0.0%,Vertigo
Tsunami Sirens,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Falcons,25,24 - 26,48.0%,95.8%,26.9%,Vertigo
WOPA,5,6 - 4,60.0%,100.0%,25.0%,Vertigo
Nemiga,31,29 - 33,46.8%,93.1%,6.1%,Vertigo
Rare Atom,12,13 - 11,54.2%,84.6%,18.2%,Vertigo
FaZe,7,8 - 6,57.1%,50.0%,16.7%,Vertigo
HEROIC,24,22 - 26,45.8%,86.4%,19.2%,Vertigo
THE,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
3DMAX,27,30 - 24,55.6%,90.0%,12.5%,Vertigo
SAW,32,33 - 31,51.6%,81.8%,19.4%,Vertigo
Sashi,44,45 - 43,51.1%,88.9%,14.0%,Vertigo
AMKAL,36,36 - 36,50.0%,91.7%,11.4%,Vertigo
Astralis,19,24 - 14,63.2%,87.5%,21.4%,Vertigo
lajtbitexe,4,6 - 2,75.0%,50.0%,0.0%,Vertigo
Espionage,22,19 - 25,43.2%,89.5%,16.0%,Vertigo
Final Form,2,3 - 1,75.0%,100.0%,0.0%,Vertigo
GamerLegion,29,27 - 31,46.6%,85.2%,9.7%,Vertigo
FURIA,19,16 - 22,42.1%,87.5%,13.6%,Vertigo
The Chosen Few,4,4 - 4,50.0%,100.0%,50.0%,Vertigo
FLuffy Gangsters,3,4 - 2,66.7%,50.0%,0.0%,Vertigo
BIG,28,24 - 32,42.9%,83.3%,18.8%,Vertigo
RED Canids,31,30 - 32,48.4%,96.6%,15.6%,Vertigo
Rhyno,15,10 - 20,33.3%,90.0%,10.0%,Vertigo
LAG,21,27 - 15,64.3%,77.8%,6.7%,Vertigo
Lilmix,4,5 - 3,62.5%,60.0%,100.0%,Vertigo
VP.Prodigy,5,6 - 4,60.0%,83.3%,25.0%,Vertigo
Elocon,1,2 - 0,100.0%,50.0%,-,Vertigo
RKON,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Ninjas in Pyjamas,27,27 - 27,50.0%,84.6%,18.5%,Vertigo
KOI,22,21 - 23,47.7%,95.2%,17.4%,Vertigo
Stealth,2,3 - 1,75.0%,100.0%,0.0%,Vertigo
G2,10,8 - 12,40.0%,62.5%,33.3%,Vertigo
RUSH B,17,16 - 18,47.1%,75.0%,27.8%,Vertigo
Johnny Speeds,6,5 - 7,41.7%,80.0%,14.3%,Vertigo
Evil Geniuses,3,1 - 5,16.7%,100.0%,60.0%,Vertigo
megoshort,1,2 - 0,100.0%,50.0%,-,Vertigo
ALTERNATE aTTaX,45,49 - 41,54.4%,91.8%,14.6%,Vertigo
Strife,7,3 - 11,21.4%,66.7%,36.4%,Vertigo
Endpoint,32,37 - 27,57.8%,86.5%,7.4%,Vertigo
Teamwork,3,3 - 3,50.0%,66.7%,0.0%,Vertigo
OG,17,18 - 16,52.9%,88.2%,0.0%,Vertigo
Vikings KR,6,7 - 5,58.3%,85.7%,0.0%,Vertigo
KingPins,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
UNiTY,14,15 - 13,53.6%,80.0%,30.8%,Vertigo
Lynn Vision,7,7 - 7,50.0%,85.7%,0.0%,Vertigo
Flamengo,8,11 - 5,68.8%,100.0%,0.0%,Vertigo
Take Flyte,2,1 - 3,25.0%,100.0%,33.3%,Vertigo
FLUFFY MAFIA,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Divine Vendetta,2,4 - 0,100.0%,75.0%,-,Vertigo
Sprout,11,10 - 12,45.5%,70.0%,25.0%,Vertigo
Dewa United,1,0 - 2,0.0%,-,50.0%,Vertigo
NAVI Javelins,11,7 - 15,31.8%,71.4%,26.7%,Vertigo
sunshine,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Norway,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
WICKED,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
KRÜ,9,7 - 11,38.9%,100.0%,27.3%,Vertigo
Permitta,57,54 - 60,47.4%,83.3%,18.3%,Vertigo
Turkey,2,0 - 4,0.0%,-,25.0%,Vertigo
BOSS,29,25 - 33,43.1%,88.0%,9.1%,Vertigo
