Times played,Wins / draws / losses,Total rounds played,Rounds won,Win percent,Pistol rounds,Pistol rounds won,Pistol round win percent,CT round win percent,T round win percent,Group,Team,Map Name
29,19 / 0 / 10,598,341,65.5%,58,34,58.6%,60.6%,53.5%,europa_2,Spirit,Ancient
2,0 / 0 / 2,45,19,0.0%,4,2,50.0%,38.1%,45.8%,europa_2,Eternal Fire,Ancient
40,22 / 0 / 18,925,475,55.0%,80,40,50.0%,53.4%,49.1%,europa_2,Virtus.pro,Ancient
36,22 / 0 / 14,784,412,61.1%,72,43,59.7%,48.0%,57.3%,europa_2,HEROIC,Ancient
27,16 / 0 / 11,571,308,59.3%,54,24,44.4%,56.3%,51.9%,europa_2,Astralis,Ancient
67,30 / 0 / 37,1431,685,44.8%,134,63,47.0%,45.1%,51.0%,europa_2,3DMAX,Ancient
37,23 / 0 / 14,843,432,62.2%,74,37,50.0%,47.9%,54.4%,europa_2,Ninjas in Pyjamas,Ancient
50,26 / 0 / 24,1067,543,52.0%,100,55,55.0%,53.7%,47.7%,europa_2,Aurora,Ancient
39,21 / 0 / 18,812,427,53.8%,78,51,65.4%,51.2%,53.7%,europa_2,TSM,Ancient
35,19 / 0 / 16,717,374,54.3%,70,38,54.3%,53.9%,50.3%,europa_2,PARIVISION,Ancient
69,39 / 0 / 30,1487,766,56.5%,138,69,50.0%,54.8%,48.4%,europa_2,B8,Ancient
76,45 / 0 / 31,1645,855,59.2%,152,79,52.0%,50.4%,53.4%,europa_2,Passion UA,Ancient
46,27 / 0 / 19,946,500,58.7%,92,49,53.3%,53.9%,51.6%,europa_2,9 Pandas,Ancient
51,30 / 0 / 21,1143,606,58.8%,102,52,51.0%,56.8%,49.7%,europa_2,BIG,Ancient
31,17 / 0 / 14,682,350,54.8%,62,28,45.2%,48.7%,54.5%,europa_2,Sashi,Ancient
31,26 / 0 / 5,674,395,83.9%,62,34,54.8%,61.0%,56.2%,america_rmr,Liquid,Ancient
19,9 / 0 / 10,408,203,47.4%,38,23,60.5%,44.1%,54.9%,america_rmr,FURIA,Ancient
41,28 / 0 / 13,827,461,68.3%,82,38,46.3%,53.0%,59.0%,america_rmr,9z,Ancient
27,11 / 0 / 16,590,279,40.7%,54,27,50.0%,41.2%,53.9%,america_rmr,Complexity,Ancient
2,2 / 0 / 0,39,26,100.0%,4,3,75.0%,57.1%,77.8%,america_rmr,paiN,Ancient
46,34 / 0 / 12,988,555,73.9%,92,50,54.3%,52.2%,59.6%,america_rmr,MIBR,Ancient
61,43 / 0 / 18,1241,715,70.5%,122,63,51.6%,58.1%,57.2%,america_rmr,M80,Ancient
3,1 / 0 / 2,61,26,33.3%,6,2,33.3%,36.7%,48.4%,america_rmr,Imperial,Ancient
52,27 / 0 / 25,1121,554,51.9%,104,52,50.0%,51.8%,47.1%,america_rmr,BOSS,Ancient
